RHEA_ID	DIRECTION	MASTER_ID	ID
15390	LR	15389	R-HSA-164377.4
15390	LR	15389	R-HSA-170676.2
15390	LR	15389	R-HSA-381607.2
15390	LR	15389	R-HSA-392129.6
15390	LR	15389	R-HSA-442715.3
15390	LR	15389	R-HSA-5211224.7
15390	LR	15389	R-HSA-5610727.3
15450	LR	15449	R-HSA-71164.6
15550	LR	15549	R-HSA-1237140.2
15554	LR	15553	R-HSA-1855208.3
15574	LR	15573	R-HSA-209821.2
15610	LR	15609	R-HSA-73580.4
15642	LR	15641	R-HSA-9012016.4
15642	LR	15641	R-HSA-9861660.2
15754	LR	15753	R-HSA-111524.6
15795	RL	15793	R-HSA-189384.6
15801	UN	15801	R-HSA-8848484.2
15818	LR	15817	R-HSA-965079.2
15890	LR	15889	R-HSA-70609.5
15902	LR	15901	R-HSA-71445.5
15903	RL	15901	R-HSA-71654.5
15970	LR	15969	R-HSA-5696230.2
15974	LR	15973	R-HSA-176664.3
15982	LR	15981	R-HSA-351222.2
15991	RL	15989	R-HSA-191352.3
16002	LR	16001	R-HSA-2161187.4
16062	LR	16061	R-HSA-1483116.3
16062	LR	16061	R-HSA-6814132.2
16066	LR	16065	R-HSA-389639.4
16070	LR	16069	R-HSA-73608.5
16090	LR	16089	R-HSA-1483096.3
16118	LR	16117	R-HSA-5694494.2
16122	LR	16121	R-HSA-73589.4
16170	LR	16169	R-HSA-70606.5
16190	LR	16189	R-HSA-71163.6
16302	LR	16301	R-HSA-8870346.3
16302	LR	16301	R-HSA-8938076.2
16302	LR	16301	R-HSA-9637699.2
16342	LR	16341	R-HSA-191422.3
16374	LR	16373	R-HSA-196857.4
16374	LR	16373	R-HSA-199203.4
16502	LR	16501	R-HSA-6813740.2
16558	LR	16557	R-HSA-71223.3
16611	RL	16609	R-HSA-74213.4
16646	LR	16645	R-HSA-5690046.3
16670	LR	16669	R-HSA-9727349.2
16794	LR	16793	R-HSA-196840.4
