RHEA_ID	DIRECTION	MASTER_ID	ID
11824	UN	11824	GO:0003864
11828	UN	11828	GO:0008664
11832	UN	11832	GO:0018505
11840	UN	11840	GO:0018479
11844	UN	11844	GO:0008861
11848	UN	11848	GO:0033795
11852	UN	11852	GO:0017061
11856	UN	11856	GO:0000824
11860	UN	11860	GO:0008257
11864	UN	11864	GO:0050470
11872	UN	11872	GO:0047783
11876	UN	11876	GO:0016404
11880	UN	11880	GO:0018531
11884	UN	11884	GO:0047785
11888	UN	11888	GO:0033721
11892	UN	11892	GO:0030781
11896	UN	11896	GO:0047016
11900	UN	11900	GO:0047046
11904	UN	11904	GO:0050228
11908	UN	11908	GO:0047699
11920	UN	11920	GO:0008124
11924	UN	11924	GO:0050512
11936	UN	11936	GO:0050350
11940	UN	11940	GO:0047781
11948	UN	11948	GO:0018739
11952	UN	11952	GO:0008903
11956	UN	11956	GO:0050295
11960	UN	11960	GO:0009016
11968	UN	11968	GO:0050016
11976	UN	11976	GO:0047670
11980	UN	11980	GO:0047135
11984	UN	11984	GO:0050214
11988	UN	11988	GO:0008825
11992	UN	11992	GO:0050031
12000	UN	12000	GO:0047899
12004	UN	12004	GO:0050507
12008	UN	12008	GO:0004703
12012	UN	12012	GO:0019165
12016	UN	12016	GO:0052577
12020	UN	12020	GO:0004040
12024	UN	12024	GO:0047202
12028	UN	12028	GO:0047771
12032	UN	12032	GO:0050528
12044	UN	12044	GO:0004806
12048	UN	12048	GO:0047569
12052	UN	12052	GO:0045482
12056	UN	12056	GO:0048001
12068	UN	12068	GO:0008897
12072	UN	12072	GO:0033977
12076	UN	12076	GO:0018456
12080	UN	12080	GO:0033818
12084	UN	12084	GO:0050086
12088	UN	12088	GO:0008120
12092	UN	12092	GO:0047604
12096	UN	12096	GO:0033966
12100	UN	12100	GO:0033991
12104	UN	12104	GO:0004799
12112	UN	12112	GO:0030747
12116	UN	12116	GO:0033748
12120	UN	12120	GO:0008878
12124	UN	12124	GO:0047172
12128	UN	12128	GO:0016041
12132	UN	12132	GO:0008551
12140	UN	12140	GO:0019136
12144	UN	12144	GO:0047214
12160	UN	12160	GO:0008678
12164	UN	12164	GO:0004062
12168	UN	12168	GO:0047655
12172	UN	12172	GO:0004342
12176	UN	12176	GO:0004603
12180	UN	12180	GO:0030774
12184	UN	12184	GO:0047512
12188	UN	12188	GO:0004591
12196	UN	12196	GO:0047905
12200	UN	12200	GO:0033760
12208	UN	12208	GO:0047374
12220	UN	12220	GO:0050049
12228	UN	12228	GO:0004066
12232	UN	12232	GO:0030699
12236	UN	12236	GO:0050138
12240	UN	12240	GO:0050641
12248	UN	12248	GO:0008762
12252	UN	12252	GO:0047782
12256	UN	12256	GO:0047794
12260	UN	12260	GO:0042736
12268	UN	12268	GO:0033094
12272	UN	12272	GO:0036468
12276	UN	12276	GO:0008470
12280	UN	12280	GO:0016309
12284	UN	12284	GO:0047369
12288	UN	12288	GO:0004560
12296	UN	12296	GO:0050557
12300	UN	12300	GO:0016432
12308	UN	12308	GO:0004043
12312	UN	12312	GO:0018679
12316	UN	12316	GO:0004438
12320	UN	12320	GO:0050615
12324	UN	12324	GO:0047406
12332	UN	12332	GO:0015408
12336	UN	12336	GO:0047772
12344	UN	12344	GO:0008883
12348	UN	12348	GO:0016159
12356	UN	12356	GO:0004476
12360	UN	12360	GO:0047203
12364	UN	12364	GO:0001512
12368	UN	12368	GO:0047843
12372	UN	12372	GO:0008806
12376	UN	12376	GO:0008737
12380	UN	12380	GO:0047307
12384	UN	12384	GO:0047857
12388	UN	12388	GO:0047957
12396	UN	12396	GO:0033701
12400	UN	12400	GO:0019159
12404	UN	12404	GO:0004461
12408	UN	12408	GO:0050303
12412	UN	12412	GO:0047572
12416	UN	12416	GO:0047698
